locate,Total_apparent_CO2_emissions_(mt)
北京市,60.63
天津市,56.80
河北省,248.66
山西省,230.97
内蒙古自治区,107.11
辽宁省,243.65
吉林省,108.67
黑龙江省,184.29
上海市,86.54
江苏省,202.73
浙江省,116.74
安徽省,115.60
福建省,41.80
江西省,56.88
山东省,264.75
河南省,176.45
湖北省,121.77
湖南省,74.70
广东省,155.35
广西省,44.74
海南省,3.00
重庆市,57.09
四川省,119.85
贵州省,100.24
云南省,64.06
陕西省,78.37
甘肃省,64.77
青海省,12.20
宁夏回族自治区,24.67
新疆维吾尔自治区,84.95
西藏自治区,9.20
